seu_name,seu_id,seu_display_name,seu_category,energy_source,baseline_duty,actual_duty,target_duty,gain,enpi,benefit,run_timestamp
KM-2115,60,EG1 Recycle gas compressor,Compressor,Electricity,0.0,0.0,,0.0,,0.0,2026-03-17 05:12:00.480567
E-2523,61,EG1 Third Stage Reactor Feed Heater,Exchanger,Steam,0.6867,,,,,,2026-03-17 05:12:00.480567
E-2531,62,EG1 First Effect Reboiler,Reboiler,Steam,2.469,4.9217,,-302.3123,,-0.0,2026-03-17 05:12:00.480567
E-2610,63,EG1 Drying Column Reboiler,Reboiler,Steam,,,,,,,2026-03-17 05:12:00.480567
E-2620,64,EG1 MEG Column Reboiler,Reboiler,Steam,,,,,,,2026-03-17 05:12:00.480567
KM-4115,65,EG2 Recycle gas compressor,Compressor,Electricity,0.0,0.0,,0.0,,0.0,2026-03-17 05:12:00.480567
E-4523,66,EG2 Third Stage Reactor Feed Heater,Exchanger,Steam,0.7514,,,,,,2026-03-17 05:12:00.480567
E-4531,67,EG2 First Effect Reboiler,Reboiler,Steam,2.3574,1.5744,,51.9874,,0.0,2026-03-17 05:12:00.480567
E-4610,68,EG2 Drying Column Reboiler,Reboiler,Steam,,,,,,,2026-03-17 05:12:00.480567
E-4620,69,EG2 MEG Column Reboiler,Reboiler,Steam,,,,,,,2026-03-17 05:12:00.480567
E-6531,70,EG3 First Effect Reboiler,Reboiler,Steam,1.6745,0.7742,,204.1816,,0.0,2026-03-17 05:12:00.480567
E-6620,71,EG3 MEG Column Reboiler,Reboiler,Steam,1.4566,1.2877,,38.3045,,0.0,2026-03-17 05:12:00.480567
H-1111,72,Eth Furnace A,Furnace,Fuel,0.0,,,,,,2026-03-17 05:12:00.480567
H-1112,73,Eth Furnace B,Furnace,Fuel,0.0,,,,,,2026-03-17 05:12:00.480567
H-1113,74,Eth Furnace C,Furnace,Fuel,5.476,,,,,,2026-03-17 05:12:00.480567
H-1114,75,Eth Furnace D,Furnace,Fuel,5.2277,,,,,,2026-03-17 05:12:00.480567
H-1115,76,Eth Furnace E,Furnace,Fuel,5.1951,,,,,,2026-03-17 05:12:00.480567
H-1116,77,Eth Furnace G,Furnace,Fuel,5.4922,,,,,,2026-03-17 05:12:00.480567
H-1117,78,Eth Furnace H,Furnace,Fuel,5.3501,,,,,,2026-03-17 05:12:00.480567
H-1118,79,Eth Furnace I,Furnace,Fuel,5.3633,,,,,,2026-03-17 05:12:00.480567
